,Sub Div Code,Dtr No,DTR Name,Feeder No,Latitude,Longitude,Total Capacity_kVA,Load,Value
152,133,450,450- Karai Kandi I (Pahar Tilla) (Dindayal) DT- 1,8,24.894895,92.534905,25.0,22.81,1
153,133,452,VitorgongapurPt-i 25KVA,201,24.9435914,92.7130857,25.0,25.27,-1
154,133,453,KHELMA PT-II,2,25.0205482,92.4800435,25.0,12.86,1
155,133,455,Mahadevpur Pt-I (Sriguru Nagar)  25 KVA,2,24.9940235,92.4648439,25.0,13.64,1
156,133,457,457-Gobindapur-I (Purba Gobingapur) (Dindayal),6,24.9032183,92.6291663,25.0,7.0,1
157,133,461,461-TALKARGRANT (DINDAYAL),2,24.9882,92.4782,25.0,11.14,1
158,133,462,462- MANIPUR-I (DINDAYAL),1,24.9542733,92.5999867,25.0,0.8999999999999999,1
159,133,468,468- Gumra Grant (Gumrah Gaon) (Dindayal),2,25.00333,92.4379412,25.0,5.5,1
160,133,470,Saidpur Pt I(nadirpar)  25KVA,8,24.9535454,92.4977021,63.0,22.13,1
161,133,471,Biswambarpur(Kushiarkul) 25KVA,2,24.9887397,92.4497036,25.0,36.28,-1
162,133,501,501-KATIRAIL TE,6,24.8950853,92.5848685,63.0,68.42999999999999,-1
163,133,503,503-SIDDIPUR,6,24.8791867,92.5889313,63.0,98.43,-1
164,133,504,504-KATIRAIL,6,24.9071669,92.5906105,250.0,93.34,1
165,133,505,505-SIDDIPUR,6,24.8799917,92.592355,250.0,144.22,1
166,133,506,506-KATIRAIL,6,24.8813983,92.5869067,250.0,232.0,1
167,133,507,507-NOON NAGAR,6,24.8948477,92.5933483,250.0,105.55,1
168,133,508,508-TIKARPARA,6,24.895545,92.5906833,250.0,298.12,-1
169,133,509,509-SIDDESWAR,6,24.9204385,92.6071119,25.0,14.049999999999999,1
170,133,512,512-BEHARA VI (TINTIKRI),6,24.9172384,92.6116583,63.0,97.89,-1
171,133,513,513-KATIRAIL TE,6,24.9246221,92.5872981,100.0,106.46,-1
172,133,514,514-NOONNAGAR,6,24.8898925,92.5946527,25.0,44.92,-1
173,133,515,515-KATIRAIL,6,24.956905,92.5836833,100.0,93.8,1
174,133,516,516-MODUA,6,24.956765,92.5836719,100.0,93.28,1
175,133,517,517-NOONNAGAR,6,24.9308471,92.5967586,100.0,65.42,1
176,133,519,519-HILARA-,6,24.9349393,92.595152,100.0,90.31,1
177,133,520,520-CHOUDHURY PARA,6,24.922148,92.6008619,25.0,31.15,-1
178,133,521,521-Hilara pamp,6,24.9252267,92.5910217,63.0,17.38,1
179,133,522,522-Bihara-V Kolachoripar,6,24.9103985,92.6333258,25.0,10.62,1
180,133,523,523-CHELLAH,6,24.9054262,92.6318967,63.0,47.31,1
181,133,524,524-LAKHIPUR III,6,24.9470206,92.588204,250.0,75.08,1
182,133,525,525-CHABAGAN,6,24.8790639,92.5832123,250.0,313.79,-1
183,133,526,526-BOROITOLI-V SP-44,6,24.9285067,92.5863767,25.0,54.29,-1
184,133,527,527-MOHANPUR-I,6,24.9110925,92.6023822,25.0,18.39,1
185,133,529,529-HILARA TE,6,24.9351707,92.5947399,16.0,24.06,-1
186,133,530,530-LAKHIPUR-I,6,24.9609735,92.5743585,16.0,35.19,-1
187,133,531,531-HILARA PUMP,6,24.9403662,92.5909925,100.0,44.57,1
188,133,601,601-siddeshwar-63-kva,8,24.8770333,92.5772583,63.0,79.14,-1
189,133,602,602-kathigorha-63-kva,8,24.8820036,92.5660643,100.0,147.55,-1
190,133,603,603-charagibazar-250-kva,8,24.8812017,92.5551839,250.0,144.36,1
191,133,604,604-kathigorha-63-kva,8,24.8851333,92.5567267,63.0,41.74,1
192,133,605,605-KATIGORAH OLD 250,8,24.8776867,92.5687733,250.0,346.44,-1
193,133,607,607-JAGADISHPUR 100,8,24.888185,92.5567798,100.0,123.35,-1
194,133,609,609-haritakar-16-kva,8,24.8880117,92.5122867,16.0,22.99,-1
195,133,610,610-LATHIMARA-100-KVA,8,24.8811583,92.5552333,250.0,161.709,1
196,133,611,Haritakar,8,24.883685,92.51593,25.0,14.19,1
197,133,612,612-LATHIMARA-16-KVA,8,24.8750363,92.5431181,16.0,33.9,-1
198,133,614,614-KATIGORAH II 100,8,24.9087452,92.5796577,100.0,58.14,1
199,133,615,615-KATHIGORHA-25-KVA-,8,24.9051417,92.577825,25.0,51.08,-1
200,133,616,616-KATHIGORHA-16-KVA,8,24.9072967,92.5788033,63.0,24.68,1
201,133,619,619-niz kathigorha-16-kva,8,24.90034,92.5776933,16.0,37.55,-1
202,133,623,623-JAGADISHPUR V 100,8,24.8987683,92.5589963,100.0,72.06,1
203,133,624,624-JAGADISHPUR IV 63,8,24.8918896,92.5681629,63.0,99.92,-1
204,133,626,626-JAGADISHPUR IV 63,8,24.8974796,92.5680284,63.0,68.67999999999999,-1
