,Cons No,Dtr No,Category,Load,Latitude,Longitude,d
258,133000045257,46,46,0.49,24.9795613,92.5651517,1
259,133000022031,46,46,0.42,25.0064283,92.5266383,1
260,133000022008,46,46,0.36,25.0073395,92.5274484,1
261,133000022009,46,46,0.31,25.0082383,92.52911,1
262,133000022010,46,46,1.0,25.0088197,92.5286632,1
263,133000022011,46,46,0.47,25.0084744,92.5289769,1
264,133000022012,46,46,0.41,25.0058357,92.5278735,1
265,133000022013,46,46,0.42,25.0080784,92.5265283,1
266,133000051456,46,46,1.0,25.0089083,92.5241533,1
267,133000022004,46,46,0.47,25.0095066,92.5246034,1
268,133010073607,46,46,0.49,25.00806,92.5276867,1
269,133000012102,46,46,0.06,25.0024816,92.5245901,1
270,133000012072,46,46,0.06,25.0040033,92.5300333,1
271,133000012073,46,46,1.0,25.0091888,92.5273672,1
272,133000012075,46,46,1.0,25.0093694,92.5115931,1
273,133000012076,46,46,1.0,25.0085176,92.5263747,1
274,133000012077,46,46,0.06,25.0021268,92.5236616,1
275,133000012080,46,46,0.06,25.0093079,92.527315,1
276,133000012081,46,46,0.06,24.9798786,92.5682494,1
277,133000012082,46,46,1.0,25.0090649,92.5273982,1
278,133000012084,46,46,0.06,25.0134134,92.5174366,1
279,133000012085,46,46,0.06,25.0021268,92.5236616,1
280,133000012088,46,46,0.06,25.0091295,92.5271762,1
281,133000012089,46,46,0.06,25.0021268,92.5236616,1
282,133000021391,46,48,0.56,25.0067909,92.5275149,1
283,133000012091,46,46,0.06,25.0024816,92.5245901,1
284,133000012090,46,46,0.06,25.0021268,92.5236616,1
285,133000022017,46,46,0.36,25.0099599,92.5244275,1
286,133000012100,46,46,0.06,25.00802,92.527795,1
287,133000012099,46,46,0.06,25.0082796,92.5273666,1
288,133000012098,46,46,0.06,25.0117636,92.5013838,1
289,133000012096,46,46,0.06,24.9989956,92.5115931,1
290,133000012094,46,46,0.06,25.0078247,92.5265177,1
291,133000012095,46,46,0.06,25.0021268,92.5236616,1
292,133000012092,46,46,0.06,24.9798786,92.5682494,1
293,133010073608,46,46,0.49,25.0078533,92.52872,1
294,133000022014,46,46,0.31,24.97511,92.5688483,1
295,133000022015,46,46,0.5,25.008465,92.5269267,1
296,133000022016,46,46,0.36,25.007555,92.5275883,1
297,133000012093,46,46,0.06,25.0058667,92.5271,1
298,133010071022,46,46,1.0,25.0076926,92.5298604,1
299,133000039380,50,46,1.0,24.996874,92.4383217,1
300,133000015319,50,46,1.0,24.9995002,92.4411011,1
301,133000023282,50,46,1.0,24.9987167,92.4436167,1
302,133010073234,50,46,1.0,25.0056047,92.4482081,1
303,133000015321,50,46,1.0,24.9968841,92.4377038,1
304,133000015324,50,49,0.42,24.9994958,92.4406682,1
305,133000015328,50,46,0.37,24.9968841,92.4377038,1
306,133000048069,50,43,0.49,25.0001406,92.4411365,1
307,133000038678,50,46,1.0,25.0001317,92.44113,1
308,133000015320,50,46,1.0,24.996874,92.4383217,1
309,133010073250,50,46,1.0,24.9999109,92.4432252,1
310,133010070219,54,46,1.0,24.9109549,92.6743174,1
311,133000031995,54,46,0.69,24.9060483,92.673245,1
312,133000022290,54,46,0.68,24.9049649,92.6777329,1
313,133000022263,54,46,1.01,24.9106175,92.6724544,1
314,133000022279,54,46,0.62,24.9113199,92.6746278,1
315,133000022280,54,46,0.72,24.9086383,92.6734867,1
316,133000022286,54,46,0.84,24.9106175,92.6724544,1
317,133000022277,54,46,0.85,24.908098,92.6721401,1
318,133000022285,54,46,0.9,24.9058223,92.6712125,1
319,133000022284,54,46,0.67,24.9102304,92.6733859,1
320,133000022282,54,46,0.93,24.9072382,92.6749383,1
321,133000022281,54,46,0.77,24.9106175,92.6724544,1
322,133000022289,54,46,0.68,24.9059857,92.6721671,1
323,133000042959,54,46,0.49,24.9106175,92.6724544,1
324,133000022361,54,46,1.0,24.9109549,92.6743174,1
325,133000022291,54,46,0.34,24.9058778,92.6732237,1
326,133000022356,54,46,0.6,24.906923,92.6718335,1
327,133000022357,54,46,1.0,24.9075976,92.6755593,1
328,133000036170,54,46,0.62,24.9102304,92.6733859,1
329,133000022300,54,46,1.0,24.9109549,92.6743174,1
330,133000022299,54,46,1.0,24.90702,92.6721717,1
331,133000022298,54,46,1.0,24.9102304,92.6733859,1
332,133010073248,54,46,1.0,24.9059883,92.673045,1
333,133000022297,54,46,1.0,24.9102304,92.6733859,1
334,133000022358,54,46,1.0,24.9045259,92.6779603,1
335,133000022296,54,48,0.51,24.8969507,92.6699707,1
