,Dtr No2,Total Load,Sub Div Code,Dtr No,DTR Name,Feeder No,Capacity,Latitude,Longitude,comparison_column
205,397,96.2,133.0,629,629-LATHIMARA-100-KVA,8.0,100 kVA,24.8791514,92.5452838,False
206,398,128.3,133.0,631,631-KATHIGORHA-16-KVA,8.0,16  kVA,24.9000817,92.5736367,False
207,399,24.5,133.0,632,632-talitakar-63-kva,8.0,63  kVA,24.8835946,92.5251355,False
208,404,55.36,133.0,634,634-CHANDINAGAR-16--KVA,8.0,16  kVA,24.9244727,92.4971552,False
209,405,22.94,133.0,635,635-JOGODISHPUR-16-KVA,8.0,16  kVA,24.9099724,92.5599661,False
210,406,7.09,133.0,637,637-CHANDINAGAR-1-16-KVA,8.0,16  kVA,24.9284735,92.5002039,False
211,407,14.69,133.0,640,640-HARINAGAR-63-KVA,8.0,63  kVA,24.8929134,92.4987646,False
212,408,10.31,133.0,642,642-HORINAGAR II,8.0,63  kVA,24.8816267,92.5028967,False
213,410,17.82,133.0,646,646-HARINAGAR II,8.0,100 kVA,24.88314,92.5033848,False
214,411,12.78,133.0,1003,Chandpur-I (Nokyary) (Near PHE),7.0,25  kVA,24.8881058,92.6517365,False
215,412,19.47,133.0,1005,Chandpur-I ( Near Masjid),7.0,25  kVA,24.8866357,92.656414,False
216,415,12.66,133.0,1009,1009- Dudhpur Lamargram (Dindayal),7.0,25  kVA,24.8805672,92.6561599,False
217,416,15.66,133.0,1010,1010-Lakhipur-III (Dindayal) DT-1,6.0,25  kVA,24.9022079,92.6348132,False
218,417,6.46,133.0,1014,1014-Khelma III (Dindayal),2.0,63  kVA,24.9632297,92.5064162,False
219,418,16.65,133.0,1015,1015-Sarajpur (Daspara) (Dindayal),2.0,63  kVA,24.9656625,92.4871535,False
220,419,11.27,133.0,1016,1016-Paikan (Ujangram) (Dindayal),5.0,25  kVA,24.983425,92.5234193,False
