,Dtr No2,Total Load
161,347,21.3
162,350,63.03
163,352,15.02
164,353,16.2
165,354,60.31
166,355,46.1
167,357,3.98
168,358,25.92
169,359,10.9
170,360,59.03
171,361,53.88
172,362,121.06
173,363,21.45
174,364,15.94
175,365,58.58
176,366,144.3
177,367,186.11
178,368,51.46
179,369,60.47
180,370,162.0
181,371,22.17
182,372,15.61
183,373,42.63
184,374,18.07
185,375,77.16
186,376,24.32
187,377,32.31
188,378,74.47
189,379,167.37
190,380,63.98
191,381,34.06
192,382,78.61
193,384,31.64
194,385,21.06
195,386,14.63
196,387,22.26
197,388,43.98
198,389,71.39
199,390,24.31
200,391,54.01
201,392,52.37
202,393,17.18
203,394,32.78
204,395,8.02
205,396,62.87
206,397,96.2
207,398,128.3
208,399,24.5
209,404,55.36
210,405,22.94
211,406,7.09
212,407,14.69
213,408,10.31
214,410,17.82
215,411,12.780000000000001
216,412,19.47
217,415,12.66
218,416,15.66
219,417,6.46
220,418,16.65
221,419,11.27
222,420,18.91
223,421,6.37
224,425,27.7
225,426,8.879999999999999
226,427,12.38
227,430,21.09
228,432,18.18
229,434,15.28
230,435,3.58
231,436,0.6
232,437,7.08
233,438,0.84
234,439,7.5
235,440,7.86
236,441,2.9
237,445,4.62
238,447,41.24
239,448,1.58
240,450,22.81
241,451,21.74
242,452,25.27
243,453,12.86
244,454,11.11
245,455,13.64
246,456,28.53
247,457,7.0
248,458,14.18
249,461,11.14
250,462,0.8999999999999999
251,463,5.36
252,464,15.08
253,465,21.35
254,466,7.3
255,467,5.2
256,468,5.5
257,469,5.6499999999999995
258,470,22.13
259,471,36.28
260,501,68.42999999999999
261,503,98.43
262,504,93.34
263,505,144.22
264,506,232.0
265,507,105.55
266,508,298.12
267,509,14.049999999999999
268,512,97.89
269,513,106.46
270,514,44.92
271,515,93.8
272,516,93.28
273,517,65.42
274,518,20.21
275,519,90.31
276,520,31.15
277,521,17.38
278,522,10.62
279,523,47.31
280,524,75.08
281,525,313.79
282,526,54.29
283,527,18.39
284,529,24.06
285,530,35.19
286,531,44.57
287,601,79.14
288,602,147.55
289,603,144.36
290,604,41.74
291,605,346.44
292,607,123.35
293,608,22.36
294,609,22.99
295,610,161.709
296,611,14.19
297,612,33.9
298,613,66.27
299,614,58.14
300,615,51.08
301,616,24.68
302,617,44.79
303,618,27.52
304,619,37.55
305,620,47.58
306,621,15.7
307,623,72.06
308,624,99.92
309,625,34.35
310,626,68.67999999999999
311,629,111.31
312,630,12.66
313,631,24.73
314,632,157.25
315,633,12.92
316,634,11.69
317,635,21.22
318,637,7.59
319,640,45.03
320,641,11.45
321,642,13.26
322,643,43.8
323,646,35.38
324,649,93.88
325,650,43.81
326,651,16.580000000000002
327,652,30.86
328,653,28.189999999999998
329,655,38.19
330,657,37.55
331,658,33.82
332,661,76.88
333,662,87.2
334,663,141.79
335,665,175.13
336,666,91.69
337,668,33.05
338,669,23.31
339,670,109.54
340,671,19.88
341,672,23.44
342,673,2.7399999999999998
343,674,11.65
344,675,3.45
345,677,84.32
346,701,37.03
347,702,87.12
348,703,18.0
349,704,26.75
350,705,28.03
351,706,20.03
352,707,199.23
353,708,11.09
354,709,109.03
355,710,29.09
356,711,38.26
357,712,42.65
358,713,31.87
359,714,239.09
360,715,69.97
361,716,36.5
362,717,126.89
363,718,26.44
364,719,172.32
365,720,49.480000000000004
366,721,38.47
367,722,95.26
368,724,47.39
369,725,96.67
370,726,24.96
371,727,35.85
372,729,33.72
373,730,13.28
374,731,20.9
375,734,24.04
376,735,37.23
377,736,42.35
378,737,90.13
379,738,116.43
380,739,55.56
381,741,104.35
382,742,24.61
383,743,49.07
384,745,42.14
385,746,32.87
386,747,31.45
387,748,21.57
388,749,36.62
389,750,18.12
390,752,33.23
391,754,41.92
392,755,95.9
393,756,101.98
394,757,71.96
395,760,10.77
396,761,144.01
397,764,50.8
398,765,281.33
399,767,141.82
400,769,54.78
401,774,52.7
402,777,53.99
403,778,12.77
404,780,66.68
405,781,103.4
406,782,90.9
407,783,64.79
408,800,27.48
409,801,60.44
410,802,66.62
411,803,18.01
412,804,25.64
413,805,20.39
414,806,19.86
415,807,50.019999999999996
416,808,39.33
417,809,14.55
418,810,40.51
419,811,73.27
420,812,205.67
421,813,200.44
422,814,8.94
423,815,22.3
424,816,44.0
425,817,6.8
426,818,16.93
427,819,5.96
428,820,20.38
429,821,102.7
430,824,27.48
431,825,72.27
432,826,36.67
433,827,65.86
434,828,41.95
435,829,26.16
436,830,15.57
437,831,10.4
438,832,59.33
439,833,1.96
440,834,9.97
441,835,19.94
442,836,240.72
443,837,31.849999999999998
444,838,4.62
445,839,57.4
446,840,19.39
447,841,14.95
448,842,44.37
449,843,104.91
450,844,57.47
451,845,96.81
452,846,10.31
453,847,23.5
454,848,82.15
455,849,23.06
456,850,60.08
457,851,11.91
458,854,28.91
459,855,24.599999999999998
460,856,23.48
461,857,6.95
462,899,17.14
463,902,18.74
464,903,24.15
465,904,6.0
466,905,29.44
467,906,158.91
468,999,19.85
469,1003,48.39
470,1005,24.82
471,1009,55.21
472,1010,16.23
473,1014,22.56
474,1015,35.87
475,1016,11.76
476,1017,11.78
477,1018,4.41
478,1021,4.9
479,1022,20.6
480,1023,5.9
481,1024,12.21
482,1025,13.68
483,1028,2.49
484,1029,12.0
485,1032,9.82
486,1033,33.89
487,1034,28.47
488,1037,23.58
489,1038,14.12
490,1039,38.22
491,1040,24.52
492,1041,14.7
493,1042,7.35
494,1043,5.51
495,1044,16.0
496,1045,40.519999999999996
497,1046,14.98
498,1047,58.42
499,1048,25.48
500,1049,22.58
501,1052,19.8
502,1053,10.78
503,1054,11.27
504,1055,5.88
505,1056,10.94
506,1057,23.86
507,1058,19.759999999999998
508,1059,12.29
509,2009,25.68
510,2010,12.6
511,2011,9.85
512,2012,9.65
513,2013,21.0
514,2014,8.33
515,2015,55.17
516,2016,15.49
517,2017,8.43
518,2022,24.58
519,2023,8.33
520,2024,17.15
521,2025,23.57
522,2026,19.6
523,2027,12.27
524,2029,5.41
525,2030,8.37
526,2032,30.43
527,2034,27.47
528,2035,0.6000000000000001
529,2038,4.9
530,2039,27.81
531,2040,12.67
532,2041,38.65
533,2042,24.51
534,2043,39.05
535,2044,21.54
536,2045,68.78
537,2046,49.33
538,2047,43.61
539,2048,18.25
540,2049,14.31
541,2050,12.8
542,2051,24.03
543,2052,6.37
544,2053,12.25
545,2054,13.23
546,2055,4.47
547,2056,37.18
548,2057,10.31
549,2059,2.89
550,2060,5.87
551,2062,2.0
552,2068,33.74
553,2069,0.3
554,2072,20.15
555,2073,19.11
556,2074,29.89
557,2075,15.3
558,2076,5.88
559,2077,13.0
560,2078,9.9
561,2079,15.0
562,2080,22.75
563,2081,25.0
564,2082,63.4
565,2084,31.36
566,2085,38.6
567,2086,9.35
568,2087,9.33
569,2088,6.859999999999999
570,2089,12.26
571,2090,6.9
572,2091,41.82
573,2092,38.01
574,2093,11.78
575,2094,18.15
576,2095,4.9
577,2097,55.39
578,2098,46.01
579,2099,50.06
580,2100,40.13
581,2101,12.91
582,2102,11.27
583,2103,36.74
584,2104,14.31
585,2105,11.15
586,2106,42.36
587,2108,17.68
588,2109,14.27
589,2110,16.72
590,2111,8.82
591,2113,29.91
592,2114,10.49
593,2115,5.82
594,2117,27.56
595,2118,6.47
596,2119,4.49
597,2120,4.41
598,2121,14.25
599,2122,11.78
600,2134,4.95
601,2135,27.259999999999998
602,2138,27.97
603,2140,33.7
604,2141,79.56
605,2142,7.43
606,2144,13.719999999999999
607,2145,5.84
608,2151,3.0
609,2185,0.99
610,2187,1.0
611,2195,0.46
612,2210,2.0
613,2214,4.140000000000001
614,2223,0.49
615,2236,26.12
616,2242,0.06
617,2246,16.96
618,2247,33.41
619,2254,1.0
620,2255,1.0
621,2260,19.59
