Sub Div Code,Dtr No,DTR Name,Feeder No,Capacity,Latitude,Longitude
133,335,335-VITORKUL-16-KVA,5,16  kVA,24.991835,92.5424317
133,341,341-BANGARPAR BAZAR,9,100 kVA,24.9221483,92.6591983
133,342,342-BHANGARPAR IV,9,100 kVA,24.9221694,92.6618018
133,347,347-Chandpur V 25 kva(Dindayal),9,25  kVA,24.8802459,92.6890964
133,350,350-Sonapur,9,63  kVA,24.8843978,92.6899701
133,352,352-BIAKIMPUNJI-25-KVA,5,16  kVA,25.0206801,92.4596856
133,353,353-BOLASHARGRANT-16-.KVA,5,63  kVA,25.0046169,92.4539044
133,354,354-BISWAMBERPUR,5,100 kVA,25.0214017,92.4730373
133,357,357-10 KVA,5,10  kVA,25.0167264,92.491598
133,358,358-BALESWARGRANT,5,16  kVA,25.0063696,92.4527822
133,359,359-BALESWARGRANT,5,16  kVA,25.0232986,92.4914376
133,361,361-CHANDPUR II,9,16  kVA,24.8894184,92.6716817
133,362,362- GOBINDAKUPA,5,63  kVA,24.991042,92.5210683
133,364,364-CHANDPUR,9,16  kVA,24.90004,92.663215
133,368,368-CHANDPUR III (BELAKONA),9,63  kVA,24.899173,92.6780843
133,369,369-CHANDPUR III,9,63  kVA,24.8925486,92.6711184
133,370,370-BHANGARPAR II,9,100 kVA,24.91913,92.6587917
133,374,374-RANGHAR III,9,25  kVA,24.9076133,92.6750183
133,375,375-BHANGARPAR IV,9,63  kVA,24.9116679,92.6710812
133,377,377-BHEWARPAR,9,63  kVA,24.9114717,92.668865
133,378,Bhangarpar IV (Near Police Outpost),9,63  kVA,24.9159429,92.6652852
133,379,379- Digorkhal Bazar,5,250 kVA,24.9975538,92.5164057
133,384,384-CHANDPUR,1,25  kVA,24.9937032,92.5197963
133,385,385-SONAPUR,9,100 kVA,24.9055355,92.6677673
133,386,386- KAYAJANI BASTI,5,25  kVA,24.9863721,92.5438292
133,387,387-16-SEWTI,5,16  kVA,25.0135693,92.5099502
133,388,388-CHANDPUR II,9,63  kVA,24.891385,92.6665767
133,390,390-BHANGARPAR II,9,63  kVA,24.9150517,92.6500117
133,391,391-tingourI,9,63  kVA,24.939965,92.63556
133,392,392-SEWTI IV,9,63  kVA,24.9167167,92.6487085
133,394,394-16 KVA BARJATRAPUR,9,25  kVA,24.8945492,92.69898
133,396,396-HIYERBOND-II,9,63  kVA,24.9057083,92.6912517
133,397,397-CHANDPUR III ( NEAR PETROL PUMP,9,63  kVA,24.9023721,92.6852968
133,398,398-CHANDPUR IV- AKILTIKRI,9,100 kVA,24.8996317,92.69115
133,406,406-Kalain TE.,3,25  kVA,24.87701,92.525155
133,411,411- Tarinipur I(Dindayal) DT-2,7,25  kVA,24.8797644,92.6306206
133,412,412- Karai Kandi I (Pahar Tilla) (Dindayal) DT- 2,8,25  kVA,24.8998967,92.5346967
133,415,415- Behara Pt VI (Goralalpar) (Dindayal),6,25  kVA,24.9216062,92.6127752
133,416,416 Mahadevpur II(Dindayal 234),2,25  kVA,24.9698104,92.4664566
133,417,SALIGRAM( BOLoRAM)25KVA  ,5,25  kVA,24.9868137,92.5676464
133,418,418- Sewti Pt I (Santi Pt I) (Monkey Tillah) (Dindayal),9,25  kVA,24.9392267,92.6616033
133,420,420-RAJPUR-I,2,25  kVA,24.982069,92.5097038
133,425,425-Mahadevpur,2,25  kVA,24.9597646,92.4814827
133,434,SALIGRAM (SORARPAR)BOLO-NANKI,5,25  kVA,24.9882245,92.5672927
133,437,437 Talkargrant (Dinndayal),2,25  kVA,24.9881,92.4820433
133,439,439 Talkargrant Mahadebpur (Dindayal),2,25  kVA,24.9908449,92.4637696
133,441,CHANDPUR-III,9,25  kVA,24.8879282,92.6755052
133,445,445- Jagadishpur III (Bargoal) (Dindayal),8,16  kVA,24.9082989,92.5677021
133,447,447 Niz- Jalalpur III,2,63  kVA,24.9860917,92.5263133
133,448,448 Talkargrant (Dindayal),5,25  kVA,24.9970708,92.4813319
133,450,450- Karai Kandi I (Pahar Tilla) (Dindayal) DT- 1,8,25  kVA,24.894895,92.534905
133,452,VitorgongapurPt-i 25KVA,201,25  kVA,24.9435914,92.7130857
133,453,KHELMA PT-II,2,25  kVA,25.0205482,92.4800435
